sportCode,sportCategoryCode,date,time,start,venueId,scoreType,participant[0].facultyId,participant[1].facultyId,status
HB,TEAM-W,2023-03-20,16:20,2023-03-20T09:20:00.000Z,11,POINT,7,8,SCHEDULE
HB,TEAM-W,2023-03-20,16:50,2023-03-20T09:50:00.000Z,11,POINT,21,11,SCHEDULE
HB,TEAM-W,2023-03-20,17:20,2023-03-20T10:20:00.000Z,11,POINT,18,9,SCHEDULE
HB,TEAM-M,2023-03-20,17:50,2023-03-20T10:50:00.000Z,11,POINT,8,21,SCHEDULE
HB,TEAM-M,2023-03-20,18:20,2023-03-20T11:20:00.000Z,11,POINT,19,5,SCHEDULE
HB,TEAM-M,2023-03-20,18:50,2023-03-20T11:50:00.000Z,11,POINT,7,22,SCHEDULE
HB,TEAM-W,2023-03-21,16:20,2023-03-21T09:20:00.000Z,11,POINT,19,5,SCHEDULE
HB,TEAM-W,2023-03-21,16:50,2023-03-21T09:50:00.000Z,11,POINT,,,SCHEDULE
HB,TEAM-M,2023-03-21,17:20,2023-03-21T10:20:00.000Z,11,POINT,21,18,SCHEDULE
HB,TEAM-M,2023-03-21,17:50,2023-03-21T10:50:00.000Z,11,POINT,10,12,SCHEDULE
HB,TEAM-M,2023-03-21,18:20,2023-03-21T11:20:00.000Z,11,POINT,8,18,SCHEDULE