sportCode,sportCategoryCode,date,time,start,venueId,scoreType,participant[0].facultyId,participant[1].facultyId,status,,
VB,WOMAN,2023-03-20,17:00,2023-03-20T10:00:00.000Z,12,POINT,7,17,SCHEDULE,,
VB,WOMAN,2023-03-20,17:30,2023-03-20T10:30:00.000Z,12,POINT,2,11,SCHEDULE,,
VB,WOMAN,2023-03-20,18:00,2023-03-20T11:00:00.000Z,12,POINT,9,18,SCHEDULE,,
VB,WOMAN,2023-03-20,18:30,2023-03-20T11:30:00.000Z,12,POINT,10,3,SCHEDULE,,
VB,WOMAN,2023-03-20,19:00,2023-03-20T12:00:00.000Z,12,POINT,15,23,SCHEDULE,,
VB,WOMAN,2023-03-21,17:00,2023-03-21T10:00:00.000Z,12,POINT,8,17,SCHEDULE,,
VB,WOMAN,2023-03-21,17:30,2023-03-21T10:30:00.000Z,12,POINT,19,11,SCHEDULE,,
VB,WOMAN,2023-03-21,18:00,2023-03-21T11:00:00.000Z,12,POINT,21,14,SCHEDULE,,
VB,WOMAN,2023-03-21,18:30,2023-03-21T11:30:00.000Z,12,POINT,5,6,SCHEDULE,,
VB,WOMAN,2023-03-22,17:00,2023-03-22T10:00:00.000Z,12,POINT,7,23,SCHEDULE,,
VB,WOMAN,2023-03-22,17:30,2023-03-22T10:30:00.000Z,12,POINT,18,14,SCHEDULE,,
VB,WOMAN,2023-03-22,18:00,2023-03-22T11:00:00.000Z,12,POINT,6,12,SCHEDULE,,
VB,WOMAN,2023-03-22,18:30,2023-03-22T11:30:00.000Z,12,POINT,21,9,SCHEDULE,,
VB,WOMAN,2023-03-24,17:00,2023-03-24T10:00:00.000Z,12,POINT,8,15,SCHEDULE,,
VB,WOMAN,2023-03-24,17:30,2023-03-24T10:30:00.000Z,12,POINT,1,18,SCHEDULE,,
VB,WOMAN,2023-03-24,18:00,2023-03-24T11:00:00.000Z,12,POINT,5,3,SCHEDULE,,
VB,WOMAN,2023-03-24,18:30,2023-03-24T11:30:00.000Z,12,POINT,10,12,SCHEDULE,,
VB,MAN,2023-03-20,17:00,2023-03-20T10:00:00.000Z,12,POINT,2,9,SCHEDULE,วิทยาศาสตร์,เศรษฐศาสตร์
VB,MAN,2023-03-20,17:30,2023-03-20T10:30:00.000Z,12,POINT,10,7,SCHEDULE,แพทยศาสตร์,ครุศาสตร์
VB,MAN,2023-03-20,18:00,2023-03-20T11:00:00.000Z,12,POINT,5,11,SCHEDULE,สถาปัตยกรรมศาสตร์,สัตวแพทยศาสตร์
VB,MAN,2023-03-20,18:30,2023-03-20T11:30:00.000Z,12,POINT,13,23,SCHEDULE,เภสัชศาสตร์,SAR
VB,MAN,2023-03-20,19:00,2023-03-20T12:00:00.000Z,12,POINT,8,18,SCHEDULE,นิเทศศาสตร์,จิตวิทยา
VB,MAN,2023-03-21,17:00,2023-03-21T10:00:00.000Z,12,POINT,21,9,SCHEDULE,สถาบันนวัตกรรมบูรณาการ​ (SCII),เศรษฐศาสตร์
VB,MAN,2023-03-21,17:30,2023-03-21T10:30:00.000Z,12,POINT,7,3,SCHEDULE,ครุศาสตร์,อักษรศาสตร์
VB,MAN,2023-03-21,18:00,2023-03-21T11:00:00.000Z,12,POINT,4,11,SCHEDULE,รัฐศาสตร์,สัตวแพทยศาสตร์
VB,MAN,2023-03-21,18:30,2023-03-21T11:30:00.000Z,12,POINT,6,13,SCHEDULE,พาณิชยศาสตร์และการบัญชี,เภสัชศาสตร์
VB,MAN,2023-03-21,19:00,2023-03-21T12:00:00.000Z,12,POINT,14,10,SCHEDULE,นิติศาสตร์,แพทยศาสตร์
VB,MAN,2023-03-22,17:00,2023-03-22T10:00:00.000Z,12,POINT,2,18,SCHEDULE,วิทยาศาสตร์,จิตวิทยา
VB,MAN,2023-03-22,17:30,2023-03-22T10:30:00.000Z,12,POINT,19,7,SCHEDULE,วิทยาศาสตร์การกีฬา,ครุศาสตร์
VB,MAN,2023-03-22,18:00,2023-03-22T11:00:00.000Z,12,POINT,11,12,SCHEDULE,สัตวแพทยศาสตร์,ทันตแพทยศาสตร์
VB,MAN,2023-03-22,18:30,2023-03-22T11:30:00.000Z,12,POINT,13,22,SCHEDULE,เภสัชศาสตร์,หอพักนิสิต
VB,MAN,2023-03-22,19:00,2023-03-22T12:00:00.000Z,12,POINT,4,5,SCHEDULE,รัฐศาสตร์,สถาปัตยกรรมศาสตร์
VB,MAN,2023-03-24,17:00,2023-03-24T10:00:00.000Z,12,POINT,1,22,SCHEDULE,วิศวกรรมศาสตร์,หอพักนิสิต
VB,MAN,2023-03-24,17:30,2023-03-24T10:30:00.000Z,12,POINT,21,8,SCHEDULE,สถาบันนวัตกรรมบูรณาการ​ (SCII),นิเทศศาสตร์
VB,MAN,2023-03-24,18:00,2023-03-24T11:00:00.000Z,12,POINT,19,14,SCHEDULE,วิทยาศาสตร์การกีฬา,นิติศาสตร์
VB,MAN,2023-03-24,18:30,2023-03-24T11:30:00.000Z,12,POINT,17,11,SCHEDULE,สหเวชศาสตร์,สัตวแพทยศาสตร์
VB,MAN,2023-03-24,19:00,2023-03-24T12:00:00.000Z,12,POINT,6,23,SCHEDULE,พาณิชยศาสตร์และการบัญชี,SAR